American	американский
Arafat	-
Brazil	-
CD	-
FBI	-
Freud	-
Harvard	-
Israel	израиль
Jackson	-
Japanese	японский
Jerusalem	-
Maradona	-
Mars	марс
Mexico	-
OPEC	-
Palestinian	-
Wednesday	среда 
Yale	-
abuse	- (преступление, нарушение, злоупотребление, произвол)
accommodation	отель ?
activity	действие ?
admission	принять ?
airport	аэропорт
alcohol	алкоголь
aluminum	-
animal	- 
announcement	-
antecedent	предыдущий
anxiety	страх, страшный, бояться
approach	способ
architecture	-
archive	-
area	область, зона
arrangement	согласиться, договор, договориться
arrival	прийти, приехать, приезжать
article	статья, пункт
artifact	-
association	связь
astronomer	-
asylum	-
atmosphere	воздух ?
attempt	попытка, попытаться
attitude	отношение, позиция
automobile	машина
avenue	-
baby	ребенок, малыш
bank	банк
baseball	-
basketball	-
bed	кровать, кроватка
benchmark	-
bird	-
bishop	-
block	-
board	-
book	книга, книжка, заказать, заказывать
boxing	-
boy	мальчик, парень
brandy	-
bread	хлеб
brother	брат
buck	доллар
butter	масло
cabbage	-
calculation	считать
canyon	-
car	машина
card	карт, карточка
carnivore	-
cash	деньги
cat	кот, кошка, котик, котенок
category	-
cell	-
cemetery	-
center	центр, середина
century	век
challenge	проблема, задача
championship	-
chance	шанс, возможность
change	смена
chemistry	химия
children	ребенок
chord	-
citizen	житель
clinic	больница
closet	шкаф
clothes	одежда
coast	-
cock	член
coffee	кофе
cognition	-
collection	-
combination	сбор
communication	связь
company	компания
competition	матч
computation	-
computer	комп
concert	концерт
conclusion	вывод
confidence	-
constellation	
consumer	клиент
country	страна
crane	-
credibility	-
credit	-
crew	команда
crisis	-
criterion	-
critic	-
cucumber	огурец
culture	культура
cup	-
currency	-
dawn	-
day	день
death	смерть
decoration	-
defeat	-
defeating	-
delay	-
departure	отправить
deployment	-
deposit	-
depression	депрессия
development	развитие
direction	направление
disability	-
disaster	-
discipline	порядок
discovery	-
dividend	-
doctor	доктор
dollar	доллар
drink	пить
drought	-
drug	лекарство
ear	ухо
earning	зарплата
eat	есть
ecology	-
effort	попытка
egg	яйцо
emergency	-
energy	-
entity	-
environment	среда
equality	-
equipment	-
evidence	доказательство
example	пример
exhibit	показать
experience	опыт
eye	глаз
family	семья
fauna	-
fear	страх
feline	-
fertility	-
fighting	страх
film	фильм
fingerprint	-
five	-
flight	бой
flood	-
focus	-
food	еда
football	футбол
forecast	-
forest	лес
fruit	фрукт
fuck	ебать
furnace	-
gain	-
galaxy	галактика
game	игра
gem	камень
gender	пол
gin	-
girl	девушка
glass	стакан
government	правительство
governor	правительство
graveyard	-
grocery	продукт, овощ
group	группа
hardware	техник
health	здоровье
hike	поход
hill	гор
history	история
holy	святой
hospital	больница
hotel	отель
hundred	сотня
hypertension	-
image	картинка
impartiality	-
implement	-
importance	важный
index	-
industry	-
information	информация
infrastructure	-
inmate	-
institution	институт
insurance	-
interest	интерес
internet	интернет
interview	интервью
investigation	-
investor	-
isolation	-
issue	проблема
jaguar	-
jazz	-
jewel	-
journal	журнал
journey	поездка
keyboard	-
kilometer	км
kind	вид
king	король
laboratory	-
lad	парень
landscape	-
laundering	-
law	закон
lawyer	-
lesson	урок
liability	-
library	-
life	жизнь
line	линия
liquid	-
listing	список
live	живой
lobster	-
loss	потеря
love	любовь
lover	-
luxury	-
madhouse	-
magician	-
maker	творить
mammal	-
man	мужчина
manslaughter	убийство
marathon	-
market	рынок
marriage	свадьба
match	матч
medal	-
media	сми
memorabilia	-
metal	-
midday	-
mile	км
mind	ум
minister	-
ministry	-
minority	-
money	деньги
monk	-
month	месяц
moon	луна
morality	-
mother	мать
motto	-
mouth	рот
movie	фильм
murder	убийство
museum	-
music	музыка
nation	нация
nature	природа
network	сеть
news	новость
noon	-
number	число
nurse	-
object	-
observation	наблюдать
office	офис
oil	нефть
opera	-
operation	операция
oracle	-
organism	организм
paper	бумага
party	-
payment	-
peace	мир
people	население
percent	процент
performance	представлять
personnel	-
phone	телефон
physics	физик
place	место
plan	план
plane	самолет
planet	-
planning	планировать
popcorn	-
population	население
possession	-
possibility	возможность
potato	картошка
practice	практик
precedent	случай
prejudice	-
preparation	-
preservation	-
president	президент
price	цена
problem	проблема
production	производство
professor	-
profit	-
project	проект
prominence	известный
property	собственный
proton	-
proximity	ближе
psychiatry	-
psychology	психолог
quarrel	-
queen	-
rabbi	-
racism	-
racket	-
radio	радио
reason	причина
recess	-
recognition	-
recommendation	совет
record	запись
recovery	-
registration	-
report	-
reservation	-
rock	камень
rook	-
rooster	-
round	тур
row	ряд
school	школа
science	-
scientist	-
sea	море
seafood	-
season	сезон
secret	секрет
secretary	-
seepage	-
senate	-
serial	сериал
series	серия
seven	-
sex	секс
shore	пляж
shower	душ
sign	знак
similarity	похожий
situation	ситуация
size	размер
skin	кожа
slave	раб
smart	умный
smile	улыбка
soap	-
soccer	футбол
software	программа
space	космос
sprint	-
star	звезда
start	начало
stock	запас
stove	-
street	улица
string	-
stroke	удар
student	студент
stupid	глупый
substance	-
sugar	сахар
summer	лето
sun	солнце
surface	внешний
tableware	-
team	команда
telephone	телефон
television	тв
tennis	-
term	срок
territory	территория
terror	ужас
theater	-
thunderstorm	гроза
ticket	билет
tiger	-
tool	-
tournament	-
trading	-
train	поезд
travel	поездка
treatment	лечить
troops	войска
type	тип
valor	-
victim	жертва
victory	победа
video	видео
viewer	-
virtuoso	-
vodka	водка
volunteer	-
voyage	поездка
war	война
warning	знак
water	вода
wealth	-
weapon	оружие
weather	погода
wine	вино
withdrawal	-
wizard	-
woman	женщина
wood	дерево
woodland	лес
word	слово
world	мир
year	год
yen	-
zoo	-
